fit_no,experiment,drate_main,drate_cas,apps_main,apps_casual,apps_onetime,venues_main,venues_casual,venues_onetime
1,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,11.56929,17.60886,1.951811
2,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,12.726219,19.369746,2.1469921
3,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,13.883148,21.130632,2.3421732
4,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,15.040077,22.891518,2.5373543
5,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,16.197006,24.652404,2.7325354
6,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,17.353935,26.41329,2.9277165
7,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,18.510864,28.174176,3.1228976
8,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,19.667793,29.935062,3.3180787
9,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,20.824722,31.695948,3.5132598
10,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,21.981651,33.456834,3.7084409
11,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,23.13858,35.21772,3.903622
12,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,24.295509,36.978606,4.0988031
13,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,25.452438,38.739492,4.2939842
14,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,26.609367,40.500378,4.4891653
15,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,27.766296,42.261264,4.6843464
16,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,28.923225,44.02215,4.8795275
17,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,30.080154,45.783036,5.0747086
18,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,31.237083,47.543922,5.2698897
19,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,32.394012,49.304808,5.4650708
20,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,33.550941,51.065694,5.6602519
21,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,34.70787,52.82658,5.855433
22,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,35.864799,54.587466,6.0506141
23,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,37.021728,56.348352,6.2457952
24,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,38.178657,58.109238,6.4409763
25,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,39.335586,59.870124,6.6361574
26,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,40.492515,61.63101,6.8313385
27,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,41.649444,63.391896,7.0265196
28,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,42.806373,65.152782,7.2217007
29,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,43.963302,66.913668,7.4168818
30,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,45.120231,68.674554,7.6120629
31,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,46.27716,70.43544,7.807244
32,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,47.434089,72.196326,8.0024251
33,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,48.591018,73.957212,8.1976062
34,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,49.747947,75.718098,8.3927873
35,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,50.904876,77.478984,8.5879684
36,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,52.061805,79.23987,8.7831495
37,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,53.218734,81.000756,8.9783306
38,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,54.375663,82.761642,9.1735117
39,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,55.532592,84.522528,9.3686928
40,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,56.689521,86.283414,9.5638739
41,NA,0.0018,0.0014,278.07,794.72,51.0917187846968,57.84645,88.0443,9.759055
