,param,value,type,source
1,hiv.test.rate_1,0.003967851,numeric,
2,hiv.test.rate_2,0.004258612,numeric,
3,hiv.test.rate_3,0.004778796,numeric,
4,hiv.test.rate_4,0.005426617,numeric,
5,hiv.test.late.prob_1,0,numeric,
6,hiv.test.late.prob_2,0,numeric,
7,hiv.test.late.prob_3,0,numeric,
8,hiv.test.late.prob_4,0,numeric,
9,test.window.int,3,numeric,
10,tt.partial.supp.prob_1,0,numeric,
11,tt.partial.supp.prob_2,0,numeric,
12,tt.partial.supp.prob_3,0,numeric,
13,tt.partial.supp.prob_4,0,numeric,
14,tt.full.supp.prob_1,1,numeric,
15,tt.full.supp.prob_2,1,numeric,
16,tt.full.supp.prob_3,1,numeric,
17,tt.full.supp.prob_4,1,numeric,
18,tt.durable.supp.prob_1,0,numeric,
19,tt.durable.supp.prob_2,0,numeric,
20,tt.durable.supp.prob_3,0,numeric,
21,tt.durable.supp.prob_4,0,numeric,
22,tx.init.rate_1,0.3582836,numeric,
23,tx.init.rate_2,0.4009485,numeric,
24,tx.init.rate_3,0.4107714,numeric,
25,tx.init.rate_4,0.5020183,numeric,
26,tx.halt.partial.rate_1,0.004825257,numeric,
27,tx.halt.partial.rate_2,0.00453566,numeric,
28,tx.halt.partial.rate_3,0.003050059,numeric,
29,tx.halt.partial.rate_4,0.003050059,numeric,
30,tx.halt.full.or_1,0.9120049,numeric,
31,tx.halt.full.or_2,0.6532664,numeric,
32,tx.halt.full.or_3,1.427322,numeric,
33,tx.halt.full.or_4,0.8325551,numeric,
34,tx.halt.durable.or_1,0.45,numeric,
35,tx.halt.durable.or_2,0.45,numeric,
36,tx.halt.durable.or_3,0.45,numeric,
37,tx.halt.durable.or_4,0.45,numeric,
38,tx.reinit.partial.rate_1,0.00255,numeric,
39,tx.reinit.partial.rate_2,0.00255,numeric,
40,tx.reinit.partial.rate_3,0.00255,numeric,
41,tx.reinit.partial.rate_4,0.00255,numeric,
42,tx.reinit.full.or_1,1,numeric,
43,tx.reinit.full.or_2,1,numeric,
44,tx.reinit.full.or_3,1,numeric,
45,tx.reinit.full.or_4,1,numeric,
46,tx.reinit.durable.or_1,1,numeric,
47,tx.reinit.durable.or_2,1,numeric,
48,tx.reinit.durable.or_3,1,numeric,
49,tx.reinit.durable.or_4,1,numeric,
50,max.time.off.tx.full.int,780,numeric,
51,max.time.on.tx.partial.int,520,numeric,
52,max.time.off.tx.partial.int,520,numeric,
53,vl.acute.rise.int,3,numeric,
54,vl.acute.peak,6.886,numeric,
55,vl.acute.fall.int,3,numeric,
56,vl.set.point,4.5,numeric,
57,vl.aids.onset.int,520,numeric,
58,vl.aids.int,104,numeric,
59,vl.aids.peak,7,numeric,
60,vl.full.supp,1.5,numeric,
61,vl.part.supp,3.5,numeric,
62,vl.tx.down.rate,0.25,numeric,
63,vl.tx.aids.down.rate,0.25,numeric,
64,vl.tx.up.rate,0.25,numeric,
65,aids.on.tx.mort.rate,0,numeric,
66,aids.off.tx.mort.rate,0.000537394,numeric,
67,a.rate,0.001386813,numeric,
68,arrival.age,16,numeric,
69,hiv.urai.prob,0.008938,numeric,
70,hiv.uiai.prob,0.003379,numeric,
71,hiv.acute.or,6,numeric,
72,hiv.circ.or,0.4,numeric,
73,hiv.cond.eff.or,0.95,numeric,
74,hiv.cond.fail.or_1,0.25,numeric,
75,hiv.cond.fail.or_2,0.25,numeric,
76,hiv.cond.fail.or_3,0.25,numeric,
77,hiv.cond.fail.or_4,0.25,numeric,
78,hiv.circ.prob_1,0.874,numeric,
79,hiv.circ.prob_2,0.874,numeric,
80,hiv.circ.prob_3,0.918,numeric,
81,hiv.circ.prob_4,0.918,numeric,
82,acts.aids.vl,5.75,numeric,
83,acts.scale,1,numeric,
84,cond.scale,1,numeric,
85,rgc.prob,0.2269585,numeric, CPN-plogis(qlogis(0.19) + log(1.25)) #0.357;  # gaps appendix 9.4
86,ugc.prob,0.1902003,numeric,CPN-gaps appendix 9.4 | calibrated
87,rct.prob,0.2054959,numeric, CPN-plogis(qlogis(0.17) + log(1.25)) #0.3216; # gaps appendix 9.3
88,uct.prob,0.1714429,numeric, CPN-gaps appendix 9.3 | calibrated
89,rgc.sympt.prob,0.1,numeric, CPN-aps 9.3
90,ugc.sympt.prob,0.9333,numeric, CPN-Gaps10.3
91,rct.sympt.prob,0.1,numeric, CPN- gaps 10.2
92,uct.sympt.prob,0.95,numeric, CPN- gaps 10.2
93,rgc.ntx.int,26,numeric,CPN
94,ugc.ntx.int,26,numeric, CPN
95,gc.tx.int,1,numeric, 1 in CPN but one in PAF (coherent with lit and CDC)
96,rct.ntx.int,32,numeric, CPN
97,uct.ntx.int,32,numeric, CPN
98,ct.tx.int,1,numeric, 1 in CPN but one in PAF (coherent with lit and CDC)
99,gc.sympt.tx.prob_1,0.9,numeric,CPN
100,gc.sympt.tx.prob_2,0.9,numeric,CPN
101,gc.sympt.tx.prob_3,0.9,numeric,CPN
102,gc.sympt.tx.prob_4,0.9,numeric,CPN
103,ct.sympt.tx.prob_1,0.9,numeric,CPN
104,ct.sympt.tx.prob_2,0.9,numeric,CPN
105,ct.sympt.tx.prob_3,0.9,numeric,CPN
106,ct.sympt.tx.prob_4,0.9,numeric,CPN
107,gc.asympt.tx.prob_1,0.1,numeric,CPN
108,gc.asympt.tx.prob_2,0.1,numeric,CPN
109,gc.asympt.tx.prob_3,0.1,numeric,CPN
110,gc.asympt.tx.prob_4,0.1,numeric,CPN
111,ct.asympt.tx.prob_1,0.1,numeric,CPN
112,ct.asympt.tx.prob_2,0.1,numeric,CPN
113,ct.asympt.tx.prob_3,0.1,numeric,CPN
114,ct.asympt.tx.prob_4,0.1,numeric,CPN
115,sti.cond.eff.or,0.95,numeric,CPN
116,sti.cond.fail.or_1,0.39,numeric,CPN
117,sti.cond.fail.or_2,0.3,numeric,CPN
118,sti.cond.fail.or_3,0.21,numeric,CPN
119,sti.cond.fail.or_4,0.21,numeric,CPN
120,hiv.trans.scale_1,16,numeric,
121,hiv.trans.scale_2,2.954994,numeric,
122,hiv.trans.scale_3,1.6,numeric,
123,hiv.trans.scale_4,0.7601167,numeric,
124,hiv.rgc.or,2.78,numeric,
125,hiv.ugc.or,1.73,numeric,
126,hiv.rct.or,2.78,numeric,
127,hiv.uct.or,1.73,numeric,
128,hiv.dual.rr,0.2,numeric,
129,riskh.start,Inf,numeric,
130,prep.start,Inf,numeric,
131,prep.start.prob_1,0.634375,numeric,
132,prep.start.prob_2,0.775,numeric,
133,prep.start.prob_3,0.765625,numeric,
134,prep.start.prob_4,0.765625,numeric,
135,prep.adhr.dist_1,0.089,numeric,
136,prep.adhr.dist_2,0.127,numeric,
137,prep.adhr.dist_3,0.784,numeric,
138,prep.adhr.or_1,0.69,numeric,
139,prep.adhr.or_2,0.19,numeric,
140,prep.adhr.or_3,0.01,numeric,
141,prep.discont.int_1,32.06053,numeric,
142,prep.discont.int_2,32.06053,numeric,
143,prep.discont.int_3,32.06053,numeric,
144,prep.discont.int_4,32.06053,numeric,
145,prep.tst.int,12.8571,numeric,
146,prep.risk.int,26,numeric,
147,prep.sti.screen.int,26,numeric,
148,prep.sti.tx.prob,1,numeric,
149,prep.risk.reassess.int,52,numeric,
150,prep.require.lnt,TRUE,logical,
151,part.ident.start,Inf,numeric,
152,part.index.window.int,0,numeric,
